date,platform,campaign_type,industry,country,impressions,clicks,CTR,CPC,ad_spend,conversions,CPA,revenue,ROAS,conversion_rate,profit,profit_margin
2024-01-21,Google Ads,Search,Fintech,UAE,59886,2113,0.03528370570751094,1.26,2662.38,159,16.744528301886792,4803.43,1.8041864797662241,0.07524846190250828,2141.05,0.4457335695534233
2024-01-22,TikTok Ads,Search,EdTech,UK,135608,5220,0.038493304229838946,1.18,6159.6,411,14.986861313868614,64126.68,10.410851353984024,0.07873563218390804,57967.08,0.9039463761417245
2024-06-15,TikTok Ads,Video,Healthcare,USA,92313,5991,0.06489876832082156,0.85,5092.35,267,19.072471910112363,10489.07,2.0597700472277043,0.04456685027541312,5396.719999999999,0.5145089126109369
2024-01-02,TikTok Ads,Shopping,SaaS,Germany,83953,5935,0.07069431705835408,1.32,7834.2,296,26.46689189189189,50505.07,6.4467424880651505,0.04987363100252738,42670.87,0.8448828998752007
2024-02-22,TikTok Ads,Search,Healthcare,UK,91807,4489,0.04889605367782413,1.93,8663.77,107,80.96981308411215,3369.53,0.3889219127469912,0.02383604366228559,-5294.24,-1.5712102281327067
2024-10-15,TikTok Ads,Search,Fintech,Canada,17666,724,0.04098267859164497,0.37,267.88,23,11.64695652173913,5220.85,19.489510228460507,0.031767955801104975,4952.97,0.9486903473572311
2024-08-14,Meta Ads,Video,Fintech,USA,118252,3748,0.03169502418563745,0.42,1574.16,152,10.356315789473685,12838.56,8.15581643543223,0.04055496264674493,11264.4,0.8773881182936404
2024-04-05,TikTok Ads,Search,EdTech,UAE,92939,5176,0.0556924434306373,0.66,3416.16,388,8.804536082474227,96298.69,28.1891626855885,0.07496136012364761,92882.53,0.964525374125027
2024-04-17,Meta Ads,Display,EdTech,Germany,30939,937,0.030285400303823654,0.59,552.83,63,8.775079365079366,16531.03,29.902555939438884,0.0672358591248666,15978.199999999999,0.9665580426627984
2024-11-13,Google Ads,Shopping,Fintech,USA,8748,362,0.0413808870598994,1.21,438.02,10,43.802,966.57,2.206680060271221,0.027624309392265192,528.5500000000001,0.546830545123478
2024-04-22,Meta Ads,Video,E-commerce,UAE,98264,3144,0.03199544085321176,1.56,4904.64,129,38.02046511627907,23127.27,4.715385838715991,0.04103053435114504,18222.63,0.7879282768783346
2024-09-11,Meta Ads,Video,Fintech,Canada,173229,5092,0.029394616374856405,1.72,8758.24,65,134.74215384615385,12320.17,1.4066947240541479,0.012765121759622938,3561.9300000000003,0.2891137054115325
2024-05-26,Meta Ads,Video,SaaS,Canada,147483,2138,0.014496586047205441,0.57,1218.66,159,7.664528301886793,42434.18,34.82036006761525,0.07436856875584659,41215.52,0.9712811700379269
2024-02-29,Google Ads,Shopping,SaaS,USA,116472,4006,0.03439453259152414,2.68,10736.08,291,36.89374570446736,78428.38,7.305122540070491,0.07264103844233649,67692.3,0.8631097569527765
2024-04-22,TikTok Ads,Shopping,EdTech,Canada,37711,2111,0.05597836175121317,0.68,1435.48,92,15.60304347826087,13898.86,9.682378019895785,0.04358124111795358,12463.380000000001,0.8967195870740479
2024-10-15,TikTok Ads,Shopping,E-commerce,Germany,96412,7047,0.07309256109198026,1.11,7822.17,194,40.32046391752577,36717.43,4.694020968605899,0.02752944515396623,28895.260000000002,0.7869630309092984
2024-08-13,TikTok Ads,Video,Fintech,Canada,184476,8854,0.04799540319607971,0.35,3098.9,198,15.651010101010101,56216.92,18.140927425860788,0.022362773887508472,53118.02,0.9448760266482048
2024-08-20,TikTok Ads,Search,Fintech,Germany,38828,3607,0.09289687854125889,0.97,3498.79,116,30.161982758620688,8788.51,2.511871246916791,0.03215968949265317,5289.72,0.6018904228361804
2024-12-25,Meta Ads,Video,SaaS,Canada,187957,4586,0.024399197688833085,2.1,9630.6,271,35.53726937269373,34433.97,3.575475048283596,0.059092891408634975,24803.370000000003,0.7203168847507273
